id,name,addr,lat,lng,dong,detailtype,detailtype_str,detailtype2_str
885,깜보식당,제주특별자치도 제주시 서광로26길 12,33.4988729746119,126.524254123851,삼도1동,6,한식,가정식
886,두맹이동네순대국밥,제주특별자치도 제주시 신산로1길 26 1층,33.5130083140862,126.534485366782,일도2동,6,한식,국밥
887,서귀포토속촌,제주특별자치도 서귀포시 태평로512번길 1-4 1층,33.2503993913203,126.572713173379,동홍동,6,한식,가정식
888,몬난이네 장어구이,제주특별자치도 제주시 원노형로 64,33.4830700740824,126.484605430213,노형동,6,한식,장어
889,돈떵이용담점,제주특별자치도 제주시 용담로 28,33.5130951444553,126.505449977314,용담2동,6,한식,돼지고기
890,서림칡냉면,제주특별자치도 제주시 진동로3길 34 1층,33.5203195847135,126.566975554272,화북동,6,한식,단품요리 전문
891,소랑분식,제주특별자치도 제주시 신대로 67 1층,33.4913214722414,126.496987300071,연동,4,간식,분식
892,주식회사 양가형제,제주특별자치도 제주시 한경면 청수동8길 3,33.3073576010795,126.254020912003,노형동,5,패스트푸드,햄버거
893,도란도란행복한시간이흐르는곳,제주특별자치도 제주시 한림읍 명월성로 16,33.4073746848732,126.26554032813,한림읍,6,한식,단품요리 전문
894,세상을누비는김밥,제주특별자치도 제주시 만덕로6길 17 1층,33.5135211013563,126.530319313488,건입동,4,간식,분식
895,미스터짱닭시청점,제주특별자치도 제주시 서광로32길 37-5,33.4979032806584,126.529915324402,이도2동,5,패스트푸드,치킨
896,먹으래가게,제주특별자치도 제주시 서광로4길 10,33.4991188477435,126.514057327735,오라동,6,한식,단품요리 전문
897,연지정감,제주특별자치도 제주시 구산로 3 1층 2호,33.4843130301323,126.536284607245,아라동,6,한식,가정식
898,소길역,제주특별자치도 제주시 애월읍 소길2길 53,33.4381219234291,126.380290341948,애월읍,1,아시아음식,일식
899,아방도르다,제주특별자치도 제주시 한경면 두신로 68 1층,33.3489739505504,126.182743843163,한경면,6,한식,단품요리 전문
900,투루베이커리,제주특별자치도 제주시 이도공원길 8 1층,33.4964571530525,126.542520806517,이도2동,6,한식,베이커리
901,돈앤정,제주특별자치도 제주시 광양9길 28,33.5006661466773,126.532686889539,이도2동,6,한식,돼지고기
902,비스트로피자 구제주점,제주특별자치도 제주시 오복6길 15 1층,33.4959272789111,126.537926382021,이도2동,5,패스트푸드,피자
903,속에천불청송얼음막걸리동홍점,제주특별자치도 서귀포시 동홍중앙로 73,33.2572215619218,126.571896447658,동홍동,6,한식,가정식
904,재클린디저트모슬포점,제주특별자치도 서귀포시 대정읍 최남단해안로 26-1,33.2181459017299,126.251993823524,대정읍,6,한식,단품요리 전문
905,소소두부,제주특별자치도 제주시 동문로6길 5-2 1층,33.5123540904503,126.528944183238,삼도2동,6,한식,단품요리 전문
906,댄싱포크,제주특별자치도 서귀포시 안덕면 산방로388번길 6,33.2321182382639,126.29513716761,안덕면,2,양식,양식
907,나지금제주,제주특별자치도 제주시 수덕5길 85-5,33.4817790772177,126.471480800615,노형동,6,한식,단품요리 전문
908,듬뿍반점,제주특별자치도 제주시 남광북1길 30,33.4957788278344,126.536657804186,이도2동,1,아시아음식,중식
909,팔각촌,제주특별자치도 제주시 천수로 42 1층,33.5030965636655,126.541468988369,이도2동,6,한식,가정식
910,땡겨김밥,제주특별자치도 서귀포시 효돈로 201,33.2636762381622,126.620335058538,효돈동,6,한식,분식
911,슬레이트룸커피,제주특별자치도 서귀포시 안덕면 덕수서로 169,33.2655817921391,126.30450099232,안덕면,6,한식,단품요리 전문
912,남원수제돈까스,제주특별자치도 서귀포시 남원읍 남한로 10-1,33.2799191985165,126.71793577101,남원읍,6,한식,가정식
913,한질동네,제주특별자치도 제주시 애월읍 일주서로 6699,33.4718957827015,126.367868199343,애월읍,6,한식,가정식
914,애월튀김간,제주특별자치도 제주시 애월읍 애월로 118,33.4644268662081,126.319786358419,애월읍,6,한식,가정식
915,형제낙지,제주특별자치도 제주시 한림읍 명월성로 8 1층,33.4079998341901,126.265842945326,한림읍,6,한식,낙지
916,제주설심당협재점,제주특별자치도 제주시 한림읍 한림로 371 1층,33.3959012113584,126.242853924368,한림읍,6,한식,단품요리 전문
917,푸라닭제주터미널점,제주특별자치도 제주시 남성로2길 7 1층,33.5013893806364,126.513749555612,용담1동,6,한식,치킨
918,사우다드,제주특별자치도 서귀포시 대정읍 하모이삼로51번길 28,33.2256056461107,126.253550195955,대정읍,6,한식,단품요리 전문
919,용팔이막창노형점,제주특별자치도 제주시 월랑로4길 17 천마빌딩 1층,33.4886898653135,126.479018005307,노형동,6,한식,단품요리 전문
920,오레노카츠 제주 화순점,제주특별자치도 서귀포시 안덕면 화순로 119,33.2462470020759,126.333538001733,안덕면,6,한식,단품요리 전문
921,서홀포가든,제주특별자치도 제주시 선사로6길 12,33.5245730604211,126.587268085381,삼양동,6,한식,가정식
922,경성주막1929삼화점,제주특별자치도 제주시 화삼로1길 15 A동 1층,33.5147022625259,126.574088194797,화북동,6,한식,가정식
923,제주통시,제주특별자치도 제주시 구산로 28-1 1층,33.482975954701,126.538552606279,아라동,6,한식,단품요리 전문
924,민들레소반,제주특별자치도 제주시 삼무로11길 3 제주YWCA회관 1층,33.49304114777,126.496116721613,연동,6,한식,가정식
925,더후라이팬제주이도점,제주특별자치도 제주시 전농로 119 트리뷰아일랜드오피스텔 1층 101호,33.5048140133915,126.525829586472,이도1동,5,패스트푸드,치킨
926,고양옥,제주특별자치도 제주시 연신로 78 1층,33.4945808645344,126.548152786765,이도2동,6,한식,가정식
927,칠공삼공식당,제주특별자치도 제주시 한림읍 한림로17길 16,33.4167045884233,126.263442214207,한림읍,6,한식,가정식
928,견우감자탕,제주특별자치도 서귀포시 중앙로 198-26,33.2619161348681,126.561767856267,동홍동,6,한식,감자탕
929,스크류쿨제원점,제주특별자치도 제주시 신광로 44-1,33.4881155329998,126.489739704667,연동,6,한식,단품요리 전문
930,차롱참치,제주특별자치도 서귀포시 신서로48번길 65 지하1층,33.2526980413413,126.512122785826,대륜동,1,아시아음식,참치
931,광양왕소금깡통구이,제주특별자치도 제주시 광양13길 13,33.4992265614392,126.531680684457,이도2동,6,한식,가정식
932,표선풍천장어,제주특별자치도 서귀포시 표선면 표선중앙로90번길 8 1층,33.3251262787576,126.832791898419,표선면,6,한식,장어
933,돌삼집,제주특별자치도 제주시 월랑로4길 28,33.4889982867544,126.479894937079,노형동,6,한식,가정식
934,서중주막,제주특별자치도 서귀포시 남원읍 태위로 685-1,33.279432017797,126.719756827957,남원읍,6,한식,단품요리 전문
935,피자굽는돌하르방,제주특별자치도 제주시 한경면 청수로 218,33.3047735735351,126.255834316399,한경면,5,패스트푸드,피자
936,난타5000피자강정지구점,제주특별자치도 서귀포시 대청로25번길 10-8 1층,33.2531762012346,126.503744047518,대천동,5,패스트푸드,피자
