병원명,구분,토요일,일요일,공휴일,주소,위도,경도,주소2
혜민내과의원, 의원,1,0,0,제주특별자치도 제주시 동광로15길 2,33.5059541422948,126.538114500289,일도이동
장용안과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 302,33.5003324893306,126.528859722904,이도이동
미래산부인과의원, 의원,1,0,0,제주특별자치도 제주시 연북로 28,33.4816780028989,126.484364060661,노형동
박지욱신경과의원, 의원,1,0,0,제주특별자치도 제주시 월랑로 3 ,33.4864706584836,126.478475118898,노형동
함내과의원, 의원,1,0,0,제주특별자치도 제주시 관덕로 63 ,33.5132798345909,126.526081549986,일도일동
참정형외과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 570,33.4726590975615,126.545266152334,아라일동
강정형외과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 262,33.4996621148119,126.524506360365,삼도일동
최고이비인후과의원, 의원,1,0,1,제주특별자치도 제주시 노형로 376,33.483414723833,126.476126253122,노형동
이동구내과의원, 의원,1,0,0,제주특별자치도 제주시 신광로 64,33.4865079326412,126.489746657434,연동
함덕의원, 의원,0,0,0,제주특별자치도 제주시 조천읍 신북로 501,33.5429861252376,126.66382368387,조천읍 함덕리
참사랑소아과의원, 의원,1,0,0,제주특별자치도 제주시 우정로 56 ,33.4879769858243,126.430731090549,외도일동
고산사랑의원, 의원,1,0,0,제주특별자치도 제주시 한경면 고산로 15,33.3024441015566,126.179395177946,한경면 고산리
하귀튼튼의원, 의원,1,0,0,제주특별자치도 제주시 애월읍 하귀9길 1,33.4867393589107,126.414969308735,애월읍 하귀1리
김석홍마취통증의학과의원, 의원,1,0,0,제주특별자치도 서귀포시 중정로 56-1 ,33.2474900546883,126.562456976462,서귀동
서문의원, 의원,1,0,0,제주특별자치도 제주시 서문로 68 ,33.5117397203378,126.518385714275,용담일동
케이뷰티성형외과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 371-1,33.4891018116477,126.539562671479,이도이동
드림통증의원, 의원,1,0,0,제주특별자치도 서귀포시 남원읍 태위로 629,33.2780525546423,126.714070239628,남원읍 남원리
고산의원, 의원,1,0,0,제주특별자치도 제주시 한경면 고산로 8,33.3016564504699,126.179829663884,한경면 고산리
탐라의원, 의원,1,0,0,제주특별자치도 제주시 한림읍 한림로 684,33.4157091179464,126.265292353697,한림읍 한림리
김의원, 의원,1,0,0,제주특별자치도 제주시 한림읍 사가길 1,33.4146962685684,126.26398326895,한림읍 한림리
포에버의원, 의원,1,0,0,제주특별자치도 제주시 삼무로 18,33.4895983510098,126.488660583969,연동
더자란 소아청소년과의원, 의원,1,0,0,제주특별자치도 제주시 연북로 556,33.4863961448418,126.539082682588,아라일동
하동바툼낭의원, 의원,1,0,0,제주특별자치도 제주시 애월읍 하귀로 35,33.4803467441823,126.40098470745,애월읍 하귀2리
하나로의원, 의원,1,0,0,제주특별자치도 제주시 조천읍 함와로 40,33.5365660075389,126.674912222026,조천읍 함덕리
고은희산부인과의원, 의원,1,0,0,제주특별자치도 서귀포시 중정로 78 ,33.2480013329838,126.564681981088,서귀동
홍소아청소년과의원, 의원,1,0,0,제주특별자치도 제주시 아란7길 18,33.4745816172885,126.543512177609,아라일동
해맑은소아과의원, 의원,1,0,0,제주특별자치도 제주시 수덕로 6 ,33.4886649230919,126.475307220929,노형동
위미의원, 의원,1,0,0,제주특별자치도 서귀포시 남원읍 태위로 123,33.2749675317659,126.660715872938,남원읍 위미리
명이비인후과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 215 ,33.5001243460011,126.519524370686,삼도일동
더편한오동훈내과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 294,33.5002042667494,126.527884346517,이도이동
맨투맨남성의원, 의원,1,0,0,제주특별자치도 제주시 도령로 7,33.4866698393292,126.48011049475,노형동
허용가정의학과의원, 의원,1,0,0,제주특별자치도 서귀포시 서호남로 91,33.2531401460418,126.52228132127,서호동
파랑새의원, 의원,1,1,1,제주특별자치도 제주시 노연로 90 ,33.4857262153656,126.489715841975,연동
이종영안과의원, 의원,1,0,0,제주특별자치도 제주시 노형로 378,33.4835900233367,126.476304019779,노형동
속편한드림내과의원, 의원,1,0,0,제주특별자치도 제주시 노형8길 3,33.4844444517438,126.477797252714,노형동
한라속시원내과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 266,33.4961300404314,126.531799909918,이도이동
강미정소아청소년과의원, 의원,1,0,0,제주특별자치도 제주시 연오로 59,33.4879308657759,126.502057860304,오라삼동
하나가정의학과의원, 의원,1,0,0,제주특별자치도 제주시 월랑로 59,33.4902322419752,126.474199468505,노형동
제주제일의원, 의원,1,0,0,제주특별자치도 제주시 동문로20길 1 ,33.5136308871107,126.53663219695,일도이동
제일내과의원, 의원,1,0,0,제주특별자치도 제주시 월랑로 1,33.4863844954209,126.478567739143,노형동
