약국명,위도,경도,주소,주소2
서귀포약국,33.2525963969071,126.56042567209,제주특별자치도 서귀포시 중앙로 89 ,서귀동
열방약국,33.2530375468745,126.561825917453,제주특별자치도 서귀포시 일주동로 8673 ,서귀동
태양약국,33.4495805003363,126.914591544548,제주특별자치도 서귀포시 성산읍 고성오조로  67,성산읍 고성리
다온약국,33.2526933883842,126.423027950794,제주특별자치도 서귀포시 중문로 7 ,중문동
늘푸른약국,33.2473868717569,126.561678459094,제주특별자치도 서귀포시 중정로 50 ,서귀동
동문약국,33.2488319496571,126.568157487976,"제주특별자치도 서귀포시 중정로 109, 102호 ",서귀동
은혜약국,33.3243350949031,126.830856774379,제주특별자치도 서귀포시 표선면 표선관정로 97 ,표선면 표선리
봄봄약국,33.252832994618,126.502693911398,제주특별자치도 서귀포시 대청로25번길 4 ,강정동
동홍약국,33.2550558185613,126.57183575331,제주특별자치도 서귀포시 동홍중앙로 49 ,동홍동
한양약국,33.246597621688,126.334628962566,제주특별자치도 서귀포시 안덕면 화순로 110,안덕면 화순리
한마음약국,33.2514862520162,126.427035601764,제주특별자치도 서귀포시 천제연로 210-1 ,중문동
은성약국,33.2493234792876,126.566332353578,제주특별자치도 서귀포시 중앙로42번길 46 ,서귀동
서귀포스타약국,33.2503361869915,126.571403032281,제주특별자치도 서귀포시 태평로 505 ,동홍동
동남온누리약국,33.4471015213541,126.913295187203,"제주특별자치도 서귀포시 성산읍 일출로 4, 케이빌딩",성산읍 고성리
고은약국,33.2796337348585,126.720287003432,제주특별자치도 서귀포시 남원읍 태위로 691,남원읍 남원리
광진당약국,33.2478088871494,126.563616322029,제주특별자치도 서귀포시 중정로 68 ,서귀동
흙한약국,33.2253224046196,126.25851816023,"제주특별자치도 서귀포시 대정읍 상모대서로20번길 17, 2층",대정읍 상모리
정약국,33.2634809273589,126.617710314541,제주특별자치도 서귀포시 하신상로 32 ,하효동
위미약국,33.2750026890019,126.661077147004,제주특별자치도 서귀포시 남원읍 태위로 127 ,남원읍 위미리
안덕유선약국,33.2465493071016,126.332309568164,"제주특별자치도 서귀포시 안덕면 화순로 132, 1층",안덕면 화순리
오름약국,33.24777808645,126.563831943749,제주특별자치도 서귀포시 중정로 70 ,서귀동
최고약국,33.2531057421979,126.559359771186,제주특별자치도 서귀포시 일주동로 8696 ,서홍동
용머리약국,33.2338148222884,126.310356250691,제주특별자치도 서귀포시 안덕면 사계남로216번길 29,안덕면 사계리
감귤약국,33.2490218148027,126.566881751223,제주특별자치도 서귀포시 동문로 64,서귀동
모슬포약국,33.2209996508654,126.250818317088,"제주특별자치도 서귀포시 대정읍 신영로 75, 1층",대정읍 하모리
금강한약국,33.2564793775915,126.505299797753,제주특별자치도 서귀포시 신서로 69 ,강정동
