이름,주소,주소2,위도,경도,구분
세화해안도로,제주특별자치도 제주시 구좌읍 구좌로,구좌읍 ,33.5210390527365,126.862608964913,11
소남머리,제주특별자치도 서귀포시 칠십리로 145,서귀동,33.2443792573728,126.568940792596,11
소정방폭포,제주특별자치도 서귀포시 칠십리로214번길 17-17,동홍동,33.2451792025445,126.576955113805,11
소천지,제주특별자치도 서귀포시 칠십리로485번길 2,보목동,33.2417514696036,126.602711421866,11
송악산둘레길,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,대정읍 상모리,33.2077669201535,126.290887906913,12
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128,하효동,33.2521480808121,126.623007487274,12
쇠소깍해변,제주특별자치도 서귀포시 하효동,하효동,33.2566103527058,126.618338420041,13
수산저수지,제주특별자치도 제주시 애월읍 수산리,애월읍 수산리,33.4648104256339,126.389919311456,12
수악(물오름),제주특별자치도 서귀포시 남원읍 516로 1042,남원읍 하례리,33.324621503829,126.609488164876,11
수월봉,제주특별자치도 제주시 한경면 고산리 3760,한경면 고산리,33.2947654332257,126.163419003191,12
수월이못,제주특별자치도 서귀포시 대정읍 안성리 1747,대정읍 안성리,33.2584078047609,126.278495605531,13
쉬리의언덕,제주 서귀포시 색달동 3039-41,색달동,33.2455957918786,126.407281104691,11
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930,구좌읍 송당리,33.4441312997032,126.778166881442,12
슬리핑라이언,제주특별자치도 서귀포시 안덕면 화순서동로 151,안덕면 화순리,33.2634798631872,126.332363869896,12
시크릿가든촬영지,제주특별자치도 서귀포시 중문관광로 198 (중문동),중문동,33.24291591839,126.420293320269,12
신대산전망대,제주특별자치도 제주시 추자면 예초리,추자면 예초리,33.9523114131961,126.333917300094,13
신대해안,제주특별자치도 제주시 추자면 예초리 77,추자면 예초리,33.9529332318906,126.337332907466,11
신비의도로,제주특별자치도 제주시 1100로 2894-63,노형동,33.451195857925,126.487225754182,12
신산공원,제주특별자치도 제주시 신산로 92-12,일도이동,33.5052969218664,126.533744461805,12
신양해안도로,제주특별자치도 서귀포시 성산읍 신고로,성산읍 고성리,33.4405385249181,126.916609738507,11
신엄포구,제주특별자치도 제주시 애월읍 애월해안로,애월읍,33.4788055431484,126.357297774339,11
신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,한경면 신창리,33.3418066985226,126.171238862704,11
신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,한경면 신창리,33.3434285042685,126.173908545785,13
신천리(용궁올레),제주특별자치도 서귀포시 성산읍 신천리,성산읍 신천리,33.3482991065753,126.852073939846,13
신흥2리동백마을,제주특별자치도 서귀포시 남원읍 한신로531번길 22-1,남원읍 신흥리,33.3204726102166,126.745109716086,11
신흥리동백&향나무길,제주특별자치도 서귀포시 남원읍 신흥리 2083,남원읍 신흥리,33.342588237993,126.747369812077,13
쌍용굴(한림공원),제주특별자치도 제주시 한림읍 한림로 300,한림읍 협재리,33.3902248567191,126.239691183153,13
아라고나이트고온천(디아넥스호텔),제주특별자치도 서귀포시 안덕면 산록남로762번길 71,안덕면 상천리,33.3029855205251,126.392815705307,12
아이리스촬영지(하얀등대),제주특별자치도 서귀포시 표선면,표선면,33.3267161050578,126.83098213169,11
안덕면사계어촌계,제주특별자치도 서귀포시 안덕면 형제해안로 20,안덕면 사계리,33.2280964405352,126.304516013642,11
알작지해변,제주특별자치도 제주시 테우해안로 60,내도동,33.4961752036017,126.441226098858,11
애월하물,제주특별자치도 제주시 애월읍 애월리 1727-5,애월읍 애월리,33.4647758787722,126.32041270144,13
애월한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,애월읍 곽지리,33.4590846763959,126.310575628004,13
애월해안도로,제주특별자치도 제주시 애월읍 애월해안로,애월읍 신엄리,33.4788055431484,126.357297774339,11
약천사템플스테이,제주특별자치도 서귀포시 이어도로 293-28 (대포동),대포동,33.2452784649815,126.450181604258,12
어리목계곡,제주특별자치도 제주시 1100로 2070-61,해안동,33.3926868254858,126.494840454381,11
어영공원,제주특별자치도 제주시 서해안로 452 (맞은편 공원),용담삼동,33.5177092708978,126.487783558057,12
